S.No.,State/UT,year,Road_Accidents_January,Road_Accidents_February,Road_Accidents_March,Road_Accidents_April,Road_Accidents_May,Road_Accidents_June,Road_Accidents_July,Road_Accidents_August,Road_Accidents_September,Road_Accidents_October,Road_Accidents_November,Road_Accidents_December,Road_Accidents_Total,Category
219,DELHI,2021,395,374,481,307,243,368,365,432,405,423,442,485,4720,UT
220,GOA,2021,301,235,285,210,131,169,199,212,227,252,287,342,2850,State
221,GUJARAT,2021,1459,1308,1446,1005,990,1232,1198,1271,1159,1343,1379,1410,15200,State
222,HARYANA,2021,810,830,949,876,515,787,812,779,802,1018,949,922,10049,State
223,HIMACHAL PRADESH,2021,209,175,197,205,107,173,213,221,196,254,240,218,2408,State
224,JAMMU AND KASHMIR,2021,349,389,491,454,395,492,559,524,527,504,523,432,5639,UT
225,JHARKHAND,2021,430,445,383,352,341,371,365,394,365,415,419,448,4728,State
226,KARNATAKA,2021,3602,3177,3512,2898,1537,2072,2584,2859,2875,2966,3122,3443,34647,State
227,KERALA,2021,3562,3324,3431,3095,1041,1502,2097,2421,2616,2894,3104,3672,32759,State
228,LAKSHADWEEP,2021,0,0,1,0,0,1,1,1,0,0,0,0,4,UT
229,MADHYA PRADESH,2021,5145,4380,4393,2971,2639,4046,3998,3758,3646,4387,4747,4109,48219,State
230,MAHARASHTRA,2021,2650,2505,2479,1636,1683,2037,2081,2051,2011,2320,2429,2716,26598,State
231,MANIPUR,2021,33,30,51,36,9,18,16,29,29,25,43,47,366,State
232,MEGHALAYA,2021,19,21,27,22,19,17,12,16,25,23,21,22,244,State
233,MIZORAM,2021,6,5,7,8,3,8,3,6,2,4,5,7,64,State
234,NAGALAND,2021,3,4,5,4,1,1,1,3,2,0,1,0,25,State
235,ODISHA,2021,1100,1030,1098,864,655,824,838,804,830,893,950,1097,10983,State
236,PUDUCHERRY,2021,91,97,103,90,37,77,78,84,102,113,72,105,1049,UT
237,PUNJAB,2021,454,479,514,497,404,438,503,527,513,603,608,557,6097,State
238,RAJASTHAN,2021,2143,1907,1986,1683,993,1400,1686,1784,1701,1875,2021,1775,20954,State
239,SIKKIM,2021,9,17,11,16,11,5,9,11,7,10,11,5,122,State
240,TAMIL NADU,2021,5322,5300,5543,4628,2384,3291,4592,4977,4941,4899,4742,5063,55682,State
241,TELANGANA,2021,2068,1821,1849,1578,1346,1605,1662,1869,1662,1948,1874,2033,21315,State
242,TRIPURA,2021,46,35,60,47,27,25,30,41,37,36,39,55,478,State
243,UTTAR PRADESH,2021,3524,2892,2930,2357,2466,2606,2742,2657,2580,2640,3024,3293,33711,State
244,UTTARAKHAND,2021,143,129,149,92,60,84,117,102,133,111,156,129,1405,State
245,WEST BENGAL,2021,1142,1022,1044,878,722,808,937,968,924,987,1016,1053,11501,State
246,ANDAMAN AND NICOBAR ISLANDS,2022,10,10,14,17,13,10,6,6,15,14,12,14,141,UT
247,ANDHRA PRADESH,2022,1796,1751,1894,1777,2161,1911,1640,1929,1539,1534,1525,1613,21070,State
248,ARUNACHAL PRADESH,2022,23,20,20,12,18,13,27,18,14,17,18,15,215,State
249,ASSAM,2022,637,564,610,558,571,488,509,586,574,586,632,713,7028,State
250,BIHAR,2022,749,760,868,953,1299,1006,902,786,692,857,991,938,10801,State
251,CHANDIGARH,2022,12,27,24,20,16,24,16,18,31,18,17,15,238,UT
